Distance,Speed,nGear,X,Y,Driver
0.02696182395200267,276.4857124571429,7,-7664.598412265317,-6565.2756054480105,LEC
15.501403736421958,279.32857051428573,7,-7674.0,-6411.0,LEC
19.17111111111111,280.0,7,-7676.424791583543,-6374.1508124282045,LEC
27.938938709094007,280.93333333333334,7,-7681.0,-6286.0,LEC
47.471111111111114,283.0,7,-7674.554790488317,-6091.423433388945,LEC
48.42045791756717,283.12857142857143,7,-7674.0,-6082.0,LEC
59.60463847192388,284.6392850285714,7,-7667.0,-5971.0,LEC
69.71555555555557,286.0,7,-7660.138521551654,-5870.196101598827,LEC
72.34747119560997,286.0,7,-7658.0,-5844.0,LEC
89.84631852385384,286.0,7,-7639.0,-5670.0,LEC
91.96000000000001,286.0,7,-7636.25872047946,-5648.697691845877,LEC
106.6519756796276,273.1333376,7,-7614.0,-5497.0,LEC
109.96000000000001,270.0,7,-7607.629510200065,-5460.370513790178,LEC
118.50163547170294,251.7,7,-7588.0,-5359.0,LEC
135.50444444444446,209.0,6,-7539.619140940792,-5148.507930472406,LEC
136.1451851122186,207.85,6,-7538.0,-5142.0,LEC
147.90444444444444,186.0,6,-7512.376031801871,-5045.258478535325,LEC
152.15843457758618,176.14285714285714,6,-7502.0,-5009.0,LEC
158.90869111980567,159.0,6,-7482.0,-4942.0,LEC
160.0377777777778,156.0,4,-7478.492878407234,-4930.903827854749,LEC
166.69750534962947,141.38,4,-7457.0,-4868.0,LEC
167.76,139.0,3,-7453.3682314361595,-4858.183979366338,LEC
173.46311519107493,135.2,3,-7433.0,-4807.0,LEC
175.20444444444445,134.0,3,-7426.463848220428,-4791.985203083055,LEC
180.76000000000002,125.0,3,-7402.285973536677,-4745.7610282412525,LEC
181.84332349001994,124.2,3,-7396.0,-4737.0,LEC
187.42666666666668,120.0,3,-7353.511044371359,-4693.307564537806,LEC
193.01854422455378,117.85,3,-7305.0,-4659.0,LEC
195.2266666666667,117.0,3,-7287.707836911157,-4650.178439335167,LEC
201.50640501056847,117.68571428571428,3,-7242.0,-4635.0,LEC
204.40444444444447,118.0,3,-7220.3048617819595,-4628.7373480004835,LEC
213.57062786651613,120.92499931428571,3,-7121.0,-4609.0,LEC
213.8155555555556,121.0,3,-7116.881207321175,-4608.451086512054,LEC
219.279357248249,127.84,3,-7019.0,-4597.0,LEC
221.03777777777782,130.0,3,-6996.128349001303,-4594.503534213452,LEC
227.0377777777778,135.0,3,-6959.3421766459,-4590.9960566471955,LEC
234.2027102187337,146.53332906666665,3,-6932.0,-4589.0,LEC
237.10444444444445,151.0,3,-6915.1340750624695,-4587.5877666204615,LEC
246.0488888888889,161.0,4,-6830.43965174331,-4580.094714996326,LEC
247.57585198136664,162.48499712,4,-6807.0,-4578.0,LEC
255.11007804539955,169.64,4,-6674.0,-4566.0,LEC
255.49333333333337,170.0,4,-6669.00720905918,-4565.533465146924,LEC
268.764532335746,176.04444444444445,4,-6596.0,-4556.0,LEC
273.29333333333335,178.0,4,-6555.012830900951,-4549.258324224449,LEC
289.42690185033365,192.6499968,4,-6354.0,-4515.0,LEC
297.7377777777778,200.0,5,-6279.870812582962,-4499.49327686348,LEC
306.80444444444447,204.0,5,-6217.328804802519,-4483.845840440781,LEC
312.2188150335172,207.09999786666665,5,-6177.0,-4474.0,LEC
320.9377777777778,212.0,5,-6099.382878506101,-4455.468164083215,LEC
322.89876416710604,212.6187488,5,-6073.0,-4449.0,LEC
330.4933333333333,215.0,5,-5935.238732244945,-4414.593948800989,LEC
333.65818180720737,216.4625,5,-5885.0,-4402.0,LEC
350.40444444444444,224.0,5,-5785.953907666014,-4377.447384793069,LEC
356.29081461903803,225.93749866666667,5,-5752.0,-4369.0,LEC
365.67111111111114,229.0,5,-5663.300346906254,-4346.723238521287,LEC
369.0833821223421,229.94642742857144,5,-5629.0,-4338.0,LEC
380.7886225765603,233.16071314285713,5,-5517.0,-4309.0,LEC
383.8711111111112,234.0,6,-5485.037701267434,-4300.687827099343,LEC
399.31003658483536,238.16071314285713,6,-5315.0,-4258.0,LEC
402.46000000000004,239.0,6,-5283.206379399838,-4250.931091713823,LEC
411.44231917723283,240.9395824,6,-5197.0,-4234.0,LEC
429.25607782192515,244.73124906666666,6,-5022.0,-4210.0,LEC
435.26000000000005,246.0,6,-4961.18345596098,-4204.656544045237,LEC
443.016393189231,247.59430641293812,6,-4884.0,-4199.0,LEC
454.7738888888889,250.0,6,-4775.649745252964,-4190.240377782202,LEC
461.1989666236853,251.15723223859834,6,-4706.0,-4178.0,LEC
465.90388888888896,252.0,6,-4646.193309943074,-4163.610511106081,LEC
476.69422769870505,254.11111111111111,6,-4508.0,-4123.0,LEC
491.6038888888889,257.0,6,-4409.1848700969995,-4083.4301958013853,LEC
502.56853476990517,257.9562496,6,-4322.0,-4038.0,LEC
503.0705555555556,258.0,6,-4316.371502487275,-4035.1233674806394,LEC
517.4594444444444,259.0,6,-4114.722753665998,-3933.5090599089112,LEC
521.3061570360105,259.6624992,6,-4073.0,-3913.0,LEC
541.8575746797964,263.1624992,6,-3966.0,-3868.0,LEC
546.7927777777778,264.0,6,-3926.1335782755723,-3853.0380886428347,LEC
556.5187447294433,264.66,6,-3828.0,-3818.0,LEC
575.7527229016445,265.96,6,-3643.0,-3769.0,LEC
576.3483333333334,266.0,7,-3637.8070748798523,-3767.840405743476,LEC
588.3038888888889,269.0,7,-3539.70853173077,-3748.229707032481,LEC
596.70020756553,269.35,7,-3436.0,-3733.0,LEC
610.2067484523924,269.9125,7,-3200.0,-3704.0,LEC
612.3038888888889,270.0,7,-3174.374691456459,-3701.161092301524,LEC
624.3038888888889,270.0,7,-3114.7607078364267,-3696.7174917084994,LEC
634.3162618569754,271.65,7,-3066.0,-3687.0,LEC
636.3927777777777,272.0,7,-3047.7123099580417,-3682.710243721772,LEC
655.9927777777776,252.0,7,-2768.763931129074,-3610.937571102789,LEC
659.6378617012849,249.6812528,7,-2731.0,-3600.0,LEC
666.8816666666665,245.0,7,-2684.28159927139,-3584.170532820257,LEC
678.9467894636911,230.5250048,7,-2642.0,-3557.0,LEC
686.526111111111,221.0,5,-2582.882453222831,-3519.3348040317615,LEC
694.3745509405713,214.3500032,5,-2512.0,-3470.0,LEC
698.2483333333332,211.0,5,-2481.0470044907242,-3444.496746105783,LEC
710.1003821392239,203.0125024,5,-2400.0,-3359.0,LEC
